Child_ID,theta,p_gen,true_prior,SoC_variant,NLL,trials_used,total_child_trials,trials_beyond_model_horizon,number_of_tied_best_configs
D001,"(15,1)",0.2,0.02,SoC-Full,21.736671961184413,14,14,0,1
D002,"(2,1)",0.7,0.02,SoC-Full,60.44930760896966,34,34,0,1
D003,"(1,1)",0.6,0.02,SoC-Full,45.5047796959113,32,32,0,1
D004,"(1,3)",0.2,0.02,SoC-Full,51.64901196252188,44,44,0,1
D005,"(9,1)",0.7,0.02,SoC-Full,33.35656010018891,27,27,0,1
D006,"(3,1)",0.5,0.02,SoC-Full,16.25553611592788,16,16,0,1
D007,"(1,3)",0.7,0.02,SoC-Full,65.31696379768066,42,42,0,1
D008,"(1,2)",0.5,0.02,SoC-Full,53.80884795598776,38,38,0,1
D009,"(1,2)",0.9,0.02,SoC-Full,93.86115967777496,50,50,0,1
D010,"(1,1)",0.5,0.02,SoC-Full,47.82328110447708,33,33,0,1
D011,"(1,3)",0.4,0.02,SoC-Full,78.98646682963958,50,50,0,1
D012,"(1,3)",0.4,0.02,SoC-Full,40.220783952869866,35,35,0,1
D013,"(1,1)",0.5,0.02,SoC-Full,12.531768792379623,13,13,0,1
D014,"(1,3)",0.7,0.02,SoC-Full,42.936116495973934,35,35,0,1
D015,"(1,3)",0.1,0.02,SoC-Rel,86.02233235578012,70,72,2,1
D017,"(1,3)",0.7,0.02,SoC-Full,49.32849901460956,36,36,0,1
D019,"(1,3)",0.7,0.02,SoC-Full,113.73434079743105,68,68,0,1
D020,"(1,1)",0.3,0.02,SoC-Full,14.746629354872983,16,16,0,1
D021,"(1,3)",0.7,0.02,SoC-Full,68.98176288239134,49,49,0,1
D022,"(4,1)",0.6,0.02,SoC-Full,12.499501253795485,12,12,0,1
D023,"(1,2)",0.9,0.02,SoC-Full,105.96489440561122,62,62,0,1
D024,"(3,1)",0.5,0.02,SoC-Full,21.265529279772952,20,20,0,1
D025,"(1,3)",0.7,0.02,SoC-Full,46.104828014241264,40,40,0,1
D026,"(1,3)",0.4,0.02,SoC-Full,33.89690761477499,28,28,0,1
D027,"(1,3)",0.4,0.02,SoC-Full,41.77605600594089,35,35,0,1
D028,"(2,1)",0.5,0.02,SoC-Full,12.480394494021208,10,10,0,1
D029,"(19,1)",0.7,0.02,SoC-Gen,35.32403886437844,5,5,0,1
D030,"(1,3)",0.9,0.02,SoC-Full,114.90126318944985,70,71,1,1
D031,"(3,1)",0.7,0.02,SoC-Full,14.55751472550287,14,14,0,1
D032,"(1,3)",0.3,0.02,SoC-Full,63.647739640100724,46,46,0,1
D033,"(2,1)",0.7,0.02,SoC-Full,65.05447779495775,36,36,0,1
D034,"(1,3)",0.6,0.02,SoC-Full,27.994082987788133,27,27,0,1
D035,"(9,1)",0.7,0.02,SoC-Full,45.646071476767965,34,34,0,1
D036,"(1,3)",0.7,0.02,SoC-Full,60.80154388233036,41,41,0,1
D037,"(1,3)",0.7,0.02,SoC-Full,37.69066693184107,34,34,0,1
D038,"(1,3)",0.7,0.02,SoC-Full,78.09278375416832,49,49,0,1
D039,"(3,1)",0.5,0.02,SoC-Full,27.01326161220604,24,24,0,1
D040,"(1,3)",0.4,0.02,SoC-Full,47.4225451851636,37,37,0,1
D041,"(9,1)",0.4,0.02,SoC-Full,14.74373803832996,12,12,0,1
D042,"(1,1)",0.6,0.02,SoC-Full,13.924339229044413,14,14,0,1
D043,"(2,1)",0.6,0.02,SoC-Full,47.56083039904414,34,34,0,1
D044,"(19,1)",0.7,0.02,SoC-Gen,22.019353930180152,7,7,0,1
D045,"(4,1)",0.5,0.02,SoC-Full,34.87715587970194,14,14,0,1
D047,"(15,1)",0.3,0.02,SoC-Full,18.325182581817828,9,9,0,1
D048,"(19,1)",0.7,0.02,SoC-Gen,25.042486177922758,11,11,0,1
D049,"(9,1)",0.7,0.02,SoC-Full,52.822689499940694,36,36,0,1
D050,"(2,1)",0.6,0.02,SoC-Full,15.332431862923714,16,16,0,1
D051,"(6,1)",0.6,0.02,SoC-Full,22.19530429394744,20,20,0,1
D052,"(2,1)",0.7,0.02,SoC-Full,67.79983504847279,36,36,0,1
D053,"(3,1)",0.5,0.02,SoC-Full,30.351956945082687,25,25,0,1
D054,"(6,1)",0.1,0.02,SoC-Rel,9.075671888484589,12,12,0,1
D055,"(1,3)",0.7,0.02,SoC-Full,24.128536645139967,24,24,0,1
D057,"(1,2)",0.3,0.02,SoC-Full,38.260736651400705,33,33,0,1
D058,"(1,3)",0.9,0.02,SoC-Full,59.59277435096563,43,43,0,1
D059,"(1,3)",0.7,0.02,SoC-Full,84.92956820616308,54,54,0,1
D060,"(9,1)",0.7,0.02,SoC-Full,58.43902893834912,37,37,0,1
D061,"(19,1)",0.7,0.02,SoC-Gen,20.766590961684784,7,7,0,1
D063,"(1,3)",0.9,0.02,SoC-Full,78.3303351392178,54,54,0,1
D065,"(1,3)",0.3,0.02,SoC-Full,56.87417107112819,44,44,0,1
D066,"(5,1)",0.8,0.02,SoC-Full,21.080707716378562,20,20,0,1
D067,"(1,3)",0.7,0.02,SoC-Full,71.4515914601634,43,43,0,1
D068,"(1,3)",0.4,0.02,SoC-Full,29.515726840607382,28,28,0,1
D070,"(1,3)",0.7,0.02,SoC-Full,31.56410532203506,29,29,0,1
D071,"(1,2)",0.6,0.02,SoC-Full,87.18294855270298,59,59,0,1
D072,"(1,3)",0.7,0.02,SoC-Full,50.60194942682209,37,37,0,1
D074,"(9,1)",0.4,0.02,SoC-Full,18.602209054144236,17,17,0,1
D075,"(3,1)",0.5,0.02,SoC-Full,25.654815617242487,24,24,0,1
D076,"(1,3)",0.6,0.02,SoC-Full,40.673525675520224,34,34,0,1
D077,"(19,1)",0.7,0.02,SoC-Gen,37.3673413594424,12,12,0,1
D078,"(6,1)",0.7,0.02,SoC-Full,60.25299819269303,40,40,0,1
