theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(99,1)",0.1,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(99,1)",0.1,0.02,2,0.94,0.06,0.0,0.0,0.0,0.0
"(99,1)",0.1,0.02,3,0.78,0.19,0.03,0.0,0.0,0.0
"(99,1)",0.1,0.02,4,0.48,0.4,0.09,0.03,0.0,0.0
"(99,1)",0.1,0.02,5,0.31,0.38,0.22,0.09,0.0,0.0
"(99,1)",0.1,0.02,6,0.2,0.33,0.25,0.17,0.05,0.0
"(99,1)",0.1,0.02,7,0.14,0.26,0.22,0.21,0.14,0.03
"(99,1)",0.1,0.02,8,0.08,0.24,0.21,0.15,0.18,0.14
"(99,1)",0.1,0.02,9,0.08,0.13,0.19,0.2,0.14,0.26
"(99,1)",0.1,0.02,10,0.06,0.09,0.15,0.2,0.15,0.35
"(99,1)",0.1,0.02,11,0.05,0.05,0.12,0.17,0.16,0.45
"(99,1)",0.1,0.02,12,0.04,0.05,0.08,0.14,0.13,0.56
"(99,1)",0.1,0.02,13,0.03,0.05,0.04,0.11,0.12,0.65
"(99,1)",0.1,0.02,14,0.03,0.04,0.03,0.09,0.09,0.72
"(99,1)",0.1,0.02,15,0.02,0.02,0.05,0.08,0.05,0.78
"(99,1)",0.1,0.02,16,0.02,0.0,0.05,0.09,0.03,0.81
"(99,1)",0.1,0.02,17,0.02,0.0,0.03,0.07,0.05,0.83
"(99,1)",0.1,0.02,18,0.02,0.0,0.01,0.07,0.04,0.86
"(99,1)",0.1,0.02,19,0.01,0.01,0.01,0.04,0.06,0.87
"(99,1)",0.1,0.02,20,0.0,0.01,0.02,0.04,0.05,0.88
"(99,1)",0.1,0.02,21,0.0,0.0,0.02,0.05,0.0,0.93
"(99,1)",0.1,0.02,22,0.0,0.0,0.01,0.05,0.01,0.93
"(99,1)",0.1,0.02,23,0.0,0.0,0.01,0.04,0.01,0.94
"(99,1)",0.1,0.02,24,0.0,0.0,0.01,0.04,0.0,0.95
"(99,1)",0.1,0.02,25,0.0,0.0,0.01,0.04,0.0,0.95
"(99,1)",0.1,0.02,26,0.0,0.0,0.01,0.04,0.0,0.95
"(99,1)",0.1,0.02,27,0.0,0.0,0.01,0.04,0.0,0.95
"(99,1)",0.1,0.02,28,0.0,0.0,0.01,0.04,0.0,0.95
"(99,1)",0.1,0.02,29,0.0,0.0,0.01,0.04,0.0,0.95
"(99,1)",0.1,0.02,30,0.0,0.0,0.01,0.04,0.0,0.95
"(99,1)",0.1,0.02,31,0.0,0.0,0.01,0.04,0.0,0.95
"(99,1)",0.1,0.02,32,0.0,0.0,0.01,0.04,0.0,0.95
"(99,1)",0.1,0.02,33,0.0,0.0,0.01,0.04,0.0,0.95
"(99,1)",0.1,0.02,34,0.0,0.0,0.01,0.04,0.0,0.95
