theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,1)",0.01,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(1,1)",0.01,0.02,2,0.99,0.01,0.0,0.0,0.0,0.0
"(1,1)",0.01,0.02,3,0.98,0.01,0.01,0.0,0.0,0.0
"(1,1)",0.01,0.02,4,0.94,0.04,0.01,0.01,0.0,0.0
"(1,1)",0.01,0.02,5,0.88,0.06,0.04,0.01,0.01,0.0
"(1,1)",0.01,0.02,6,0.81,0.07,0.09,0.02,0.0,0.01
"(1,1)",0.01,0.02,7,0.78,0.03,0.15,0.02,0.01,0.01
"(1,1)",0.01,0.02,8,0.77,0.01,0.13,0.06,0.01,0.02
"(1,1)",0.01,0.02,9,0.75,0.02,0.11,0.03,0.06,0.03
"(1,1)",0.01,0.02,10,0.66,0.09,0.09,0.04,0.03,0.09
"(1,1)",0.01,0.02,11,0.62,0.04,0.16,0.02,0.04,0.12
"(1,1)",0.01,0.02,12,0.6,0.02,0.14,0.06,0.02,0.16
"(1,1)",0.01,0.02,13,0.58,0.02,0.13,0.03,0.06,0.18
"(1,1)",0.01,0.02,14,0.57,0.01,0.13,0.02,0.03,0.24
"(1,1)",0.01,0.02,15,0.56,0.01,0.11,0.03,0.02,0.27
"(1,1)",0.01,0.02,16,0.49,0.07,0.08,0.04,0.03,0.29
"(1,1)",0.01,0.02,17,0.45,0.04,0.14,0.01,0.04,0.32
"(1,1)",0.01,0.02,18,0.43,0.02,0.12,0.06,0.01,0.36
"(1,1)",0.01,0.02,19,0.41,0.02,0.09,0.05,0.06,0.37
"(1,1)",0.01,0.02,20,0.4,0.01,0.08,0.03,0.05,0.43
"(1,1)",0.01,0.02,21,0.38,0.02,0.06,0.03,0.03,0.48
"(1,1)",0.01,0.02,22,0.36,0.02,0.08,0.0,0.03,0.51
"(1,1)",0.01,0.02,23,0.35,0.01,0.09,0.01,0.0,0.54
"(1,1)",0.01,0.02,24,0.34,0.01,0.09,0.01,0.01,0.54
"(1,1)",0.01,0.02,25,0.33,0.02,0.08,0.01,0.01,0.55
"(1,1)",0.01,0.02,26,0.33,0.01,0.06,0.03,0.01,0.56
"(1,1)",0.01,0.02,27,0.32,0.02,0.04,0.02,0.03,0.57
"(1,1)",0.01,0.02,28,0.32,0.0,0.06,0.0,0.02,0.6
"(1,1)",0.01,0.02,29,0.31,0.01,0.05,0.01,0.0,0.62
"(1,1)",0.01,0.02,30,0.29,0.02,0.04,0.02,0.01,0.62
"(1,1)",0.01,0.02,31,0.29,0.0,0.05,0.02,0.01,0.63
"(1,1)",0.01,0.02,32,0.27,0.02,0.01,0.05,0.01,0.64
"(1,1)",0.01,0.02,33,0.24,0.03,0.03,0.01,0.04,0.65
"(1,1)",0.01,0.02,34,0.24,0.0,0.05,0.02,0.0,0.69
"(1,1)",0.01,0.02,35,0.22,0.02,0.04,0.02,0.01,0.69
"(1,1)",0.01,0.02,36,0.2,0.02,0.06,0.01,0.01,0.7
"(1,1)",0.01,0.02,37,0.2,0.0,0.07,0.02,0.0,0.71
"(1,1)",0.01,0.02,38,0.18,0.02,0.04,0.04,0.01,0.71
"(1,1)",0.01,0.02,39,0.17,0.01,0.06,0.01,0.03,0.72
"(1,1)",0.01,0.02,40,0.17,0.0,0.07,0.01,0.0,0.75
"(1,1)",0.01,0.02,41,0.16,0.01,0.06,0.02,0.0,0.75
"(1,1)",0.01,0.02,42,0.16,0.0,0.07,0.01,0.01,0.75
"(1,1)",0.01,0.02,43,0.16,0.0,0.05,0.03,0.0,0.76
"(1,1)",0.01,0.02,44,0.16,0.0,0.05,0.01,0.02,0.76
"(1,1)",0.01,0.02,45,0.16,0.0,0.03,0.03,0.0,0.78
"(1,1)",0.01,0.02,46,0.16,0.0,0.03,0.01,0.02,0.78
"(1,1)",0.01,0.02,47,0.16,0.0,0.03,0.01,0.0,0.8
"(1,1)",0.01,0.02,48,0.15,0.01,0.02,0.02,0.0,0.8
"(1,1)",0.01,0.02,49,0.15,0.0,0.02,0.02,0.01,0.8
"(1,1)",0.01,0.02,50,0.14,0.01,0.01,0.02,0.01,0.81
"(1,1)",0.01,0.02,51,0.13,0.01,0.02,0.01,0.01,0.82
"(1,1)",0.01,0.02,52,0.13,0.0,0.03,0.01,0.0,0.83
"(1,1)",0.01,0.02,53,0.13,0.0,0.03,0.01,0.0,0.83
"(1,1)",0.01,0.02,54,0.13,0.0,0.03,0.01,0.0,0.83
"(1,1)",0.01,0.02,55,0.13,0.0,0.03,0.01,0.0,0.83
"(1,1)",0.01,0.02,56,0.13,0.0,0.01,0.03,0.0,0.83
"(1,1)",0.01,0.02,57,0.13,0.0,0.01,0.01,0.02,0.83
"(1,1)",0.01,0.02,58,0.13,0.0,0.01,0.01,0.0,0.85
"(1,1)",0.01,0.02,59,0.13,0.0,0.01,0.01,0.0,0.85
"(1,1)",0.01,0.02,60,0.13,0.0,0.01,0.01,0.0,0.85
"(1,1)",0.01,0.02,61,0.13,0.0,0.01,0.01,0.0,0.85
"(1,1)",0.01,0.02,62,0.13,0.0,0.01,0.01,0.0,0.85
"(1,1)",0.01,0.02,63,0.13,0.0,0.01,0.01,0.0,0.85
"(1,1)",0.01,0.02,64,0.13,0.0,0.01,0.01,0.0,0.85
"(1,1)",0.01,0.02,65,0.13,0.0,0.0,0.02,0.0,0.85
"(1,1)",0.01,0.02,66,0.13,0.0,0.0,0.01,0.01,0.85
"(1,1)",0.01,0.02,67,0.12,0.01,0.0,0.01,0.0,0.86
"(1,1)",0.01,0.02,68,0.12,0.0,0.01,0.01,0.0,0.86
"(1,1)",0.01,0.02,69,0.12,0.0,0.01,0.01,0.0,0.86
"(1,1)",0.01,0.02,70,0.12,0.0,0.01,0.01,0.0,0.86
"(2,1)",0.01,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(2,1)",0.01,0.02,2,1.0,0.0,0.0,0.0,0.0,0.0
"(2,1)",0.01,0.02,3,0.96,0.04,0.0,0.0,0.0,0.0
"(2,1)",0.01,0.02,4,0.9,0.06,0.04,0.0,0.0,0.0
"(2,1)",0.01,0.02,5,0.84,0.06,0.07,0.03,0.0,0.0
"(2,1)",0.01,0.02,6,0.78,0.07,0.07,0.05,0.03,0.0
"(2,1)",0.01,0.02,7,0.69,0.09,0.12,0.03,0.04,0.03
"(2,1)",0.01,0.02,8,0.66,0.03,0.16,0.07,0.01,0.07
"(2,1)",0.01,0.02,9,0.56,0.1,0.13,0.08,0.05,0.08
"(2,1)",0.01,0.02,10,0.5,0.07,0.22,0.01,0.07,0.13
"(2,1)",0.01,0.02,11,0.41,0.1,0.2,0.08,0.01,0.2
"(2,1)",0.01,0.02,12,0.39,0.04,0.22,0.07,0.07,0.21
"(2,1)",0.01,0.02,13,0.37,0.03,0.15,0.11,0.06,0.28
"(2,1)",0.01,0.02,14,0.34,0.04,0.14,0.04,0.1,0.34
"(2,1)",0.01,0.02,15,0.31,0.04,0.14,0.03,0.04,0.44
"(2,1)",0.01,0.02,16,0.28,0.04,0.15,0.02,0.03,0.48
"(2,1)",0.01,0.02,17,0.25,0.04,0.14,0.04,0.02,0.51
"(2,1)",0.01,0.02,18,0.25,0.01,0.13,0.04,0.04,0.53
"(2,1)",0.01,0.02,19,0.24,0.02,0.1,0.03,0.04,0.57
"(2,1)",0.01,0.02,20,0.22,0.03,0.09,0.02,0.03,0.61
"(2,1)",0.01,0.02,21,0.2,0.03,0.09,0.02,0.02,0.64
"(2,1)",0.01,0.02,22,0.18,0.04,0.06,0.04,0.02,0.66
"(2,1)",0.01,0.02,23,0.18,0.01,0.06,0.03,0.04,0.68
"(2,1)",0.01,0.02,24,0.18,0.01,0.04,0.02,0.03,0.72
"(2,1)",0.01,0.02,25,0.18,0.01,0.01,0.03,0.02,0.75
"(2,1)",0.01,0.02,26,0.17,0.02,0.01,0.0,0.03,0.77
"(2,1)",0.01,0.02,27,0.16,0.03,0.01,0.0,0.0,0.8
"(2,1)",0.01,0.02,28,0.15,0.03,0.02,0.0,0.0,0.8
"(2,1)",0.01,0.02,29,0.15,0.01,0.04,0.0,0.0,0.8
"(2,1)",0.01,0.02,30,0.13,0.03,0.03,0.01,0.0,0.8
"(2,1)",0.01,0.02,31,0.13,0.0,0.05,0.01,0.01,0.8
"(2,1)",0.01,0.02,32,0.13,0.0,0.04,0.01,0.01,0.81
"(2,1)",0.01,0.02,33,0.13,0.0,0.03,0.01,0.01,0.82
"(2,1)",0.01,0.02,34,0.13,0.0,0.02,0.01,0.01,0.83
"(2,1)",0.01,0.02,35,0.13,0.0,0.01,0.02,0.0,0.84
"(2,1)",0.01,0.02,36,0.13,0.0,0.01,0.01,0.01,0.84
"(2,1)",0.01,0.02,37,0.12,0.01,0.01,0.01,0.0,0.85
"(2,1)",0.01,0.02,38,0.12,0.0,0.02,0.01,0.0,0.85
"(2,1)",0.01,0.02,39,0.12,0.0,0.02,0.01,0.0,0.85
"(2,1)",0.01,0.02,40,0.12,0.0,0.02,0.01,0.0,0.85
"(2,1)",0.01,0.02,41,0.12,0.0,0.02,0.01,0.0,0.85
"(2,1)",0.01,0.02,42,0.12,0.0,0.01,0.02,0.0,0.85
"(2,1)",0.01,0.02,43,0.12,0.0,0.01,0.01,0.01,0.85
"(2,1)",0.01,0.02,44,0.12,0.0,0.0,0.02,0.0,0.86
"(2,1)",0.01,0.02,45,0.12,0.0,0.0,0.01,0.01,0.86
