action_id,action_type,key,box,success,supposed_to_open,error
1,attempt,pink,pink,0,0,0
2,attempt,red,red,1,1,0
3,attempt,white,white,0,0,0
4,attempt,pink,pink,0,0,0
5,attempt,purple,purple,0,0,0
6,attempt,white,white,0,0,0
7,attempt,purple,purple,0,0,0
8,attempt,white,white,0,0,0
9,attempt,purple,purple,0,0,0
10,attempt,white,white,0,0,0
11,attempt,pink,pink,0,0,0
12,attempt,heart,purple,0,0,0
13,attempt,heart,purple,0,0,0
14,attempt,blue,blue,0,0,0
15,attempt,purple,purple,0,0,0
16,attempt,triangle,blue,0,0,0
17,attempt,purple,purple,0,0,0
18,attempt,blue,blue,0,0,0
19,attempt,white,white,0,0,0
20,attempt,purple,purple,0,0,0
21,attempt,purple,purple,0,0,0
22,attempt,blue,blue,0,0,0
23,attempt,purple,purple,0,0,0
24,attempt,blue,blue,0,0,0
25,attempt,blue,blue,0,0,0
26,attempt,pink,pink,0,0,0
27,attempt,purple,purple,0,0,0
28,attempt,white,white,0,0,0
29,attempt,white,white,0,0,0
30,examine,,white,,,
31,attempt,white,white,0,0,0
32,attempt,white,white,0,0,0
33,attempt,white,white,0,0,0
34,attempt,heart,purple,0,0,0
35,attempt,cloud,pink,0,0,0
36,attempt,triangle,blue,0,0,0
37,attempt,pink,pink,0,0,0
38,attempt,purple,purple,0,0,0
39,attempt,white,white,0,0,0
40,attempt,purple,purple,0,0,0
41,examine,,pink,,,
42,attempt,purple,purple,0,0,0
43,examine,,purple,,,
44,attempt,blue,blue,0,0,0
45,attempt,white,white,0,0,0
46,attempt,blue,blue,0,0,0
47,examine,,blue,,,
48,attempt,orange4,white,1,1,0
49,attempt,yellow5,blue,1,1,0
50,attempt,grey2,pink,1,1,0
51,attempt,green3,purple,0,1,1
52,attempt,green3,purple,0,1,1
53,attempt,green3,purple,0,1,1
54,attempt,green3,purple,0,1,1
55,attempt,green3,purple,0,1,1
56,attempt,green3,purple,1,1,0
