Child_ID,SoC_variant,theta,p_gen,true_prior,run_number,seed,attempts,unique_key_box_pairs,revisit_attempts,revisit_rate,attempts_before_abandoning_color_matching,color_matching_abandoned,boxes_opened,solved,final_theta,trajectory_file
D041,SoC-Full,"(9, 1)",0.4,0.02,1,6072478380297616718,19,19,0,0.0,2,True,5,True,0.924670707458113,SoC-Full\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02__run_001.json
D041,SoC-Full,"(9, 1)",0.4,0.02,2,4885791729633168199,10,10,0,0.0,3,True,5,True,0.9297423887587822,SoC-Full\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02__run_002.json
D041,SoC-Full,"(9, 1)",0.4,0.02,3,942214037154964895,7,7,0,0.0,1,True,5,True,0.9297423887587822,SoC-Full\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02__run_003.json
D041,SoC-Full,"(9, 1)",0.4,0.02,4,1507593611974320897,24,24,0,0.0,3,True,5,True,0.88552016985138,SoC-Full\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02__run_004.json
D041,SoC-Full,"(9, 1)",0.4,0.02,5,5493009747729868307,30,27,3,0.10344827586206896,0,True,5,True,0.9241927046178722,SoC-Full\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02__run_005.json
D041,SoC-Full,"(9, 1)",0.4,0.02,6,7626441320573542319,19,19,0,0.0,2,True,5,True,0.9001822969414625,SoC-Full\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02__run_006.json
D041,SoC-Full,"(9, 1)",0.4,0.02,7,3795912303550518563,28,27,1,0.037037037037037035,1,True,5,True,0.9022222222222223,SoC-Full\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02__run_007.json
D041,SoC-Full,"(9, 1)",0.4,0.02,8,6521387431074715058,25,24,1,0.041666666666666664,1,True,5,True,0.9101123595505618,SoC-Full\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02__run_008.json
D041,SoC-Full,"(9, 1)",0.4,0.02,9,3948114979318315489,27,22,5,0.19230769230769232,3,True,5,True,0.8663594470046083,SoC-Full\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02__run_009.json
D041,SoC-Full,"(9, 1)",0.4,0.02,10,8999914628764932795,26,25,1,0.04,2,True,5,True,0.8948611557605025,SoC-Full\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02\D041__SoC-Full__theta_9_1__pgen_0.4__prior_0.02__run_010.json
