theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,1)",0.1,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(1,1)",0.1,0.02,2,1.0,0.0,0.0,0.0,0.0,0.0
"(1,1)",0.1,0.02,3,0.98,0.02,0.0,0.0,0.0,0.0
"(1,1)",0.1,0.02,4,0.93,0.06,0.01,0.0,0.0,0.0
"(1,1)",0.1,0.02,5,0.88,0.07,0.05,0.0,0.0,0.0
"(1,1)",0.1,0.02,6,0.79,0.12,0.06,0.03,0.0,0.0
"(1,1)",0.1,0.02,7,0.77,0.06,0.12,0.05,0.0,0.0
"(1,1)",0.1,0.02,8,0.73,0.05,0.07,0.13,0.02,0.0
"(1,1)",0.1,0.02,9,0.7,0.05,0.06,0.13,0.06,0.0
"(1,1)",0.1,0.02,10,0.64,0.08,0.08,0.08,0.11,0.01
"(1,1)",0.1,0.02,11,0.6,0.11,0.05,0.1,0.09,0.05
"(1,1)",0.1,0.02,12,0.56,0.09,0.09,0.09,0.08,0.09
"(1,1)",0.1,0.02,13,0.5,0.13,0.08,0.1,0.08,0.11
"(1,1)",0.1,0.02,14,0.45,0.15,0.05,0.11,0.1,0.14
"(1,1)",0.1,0.02,15,0.39,0.16,0.08,0.07,0.11,0.19
"(1,1)",0.1,0.02,16,0.38,0.15,0.04,0.1,0.08,0.25
"(1,1)",0.1,0.02,17,0.34,0.13,0.09,0.07,0.09,0.28
"(1,1)",0.1,0.02,18,0.3,0.16,0.04,0.09,0.1,0.31
"(1,1)",0.1,0.02,19,0.28,0.18,0.02,0.08,0.09,0.35
"(1,1)",0.1,0.02,20,0.26,0.17,0.05,0.04,0.09,0.39
"(1,1)",0.1,0.02,21,0.24,0.17,0.05,0.06,0.04,0.44
"(1,1)",0.1,0.02,22,0.21,0.19,0.01,0.08,0.03,0.48
