theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(2,1)",0.5,0.02,1,25,5,True,0.8007689078375655
"(2,1)",0.5,0.02,2,13,5,True,0.8253634334241399
"(2,1)",0.5,0.02,3,12,5,True,0.8558558558558558
"(2,1)",0.5,0.02,4,19,5,True,0.8334073253458386
"(2,1)",0.5,0.02,5,32,5,True,0.8304347826086956
"(2,1)",0.5,0.02,6,14,5,True,0.8163707874390393
"(2,1)",0.5,0.02,7,57,5,True,0.7244019152469721
"(2,1)",0.5,0.02,8,22,5,True,0.746031746031746
"(2,1)",0.5,0.02,9,70,2,False,0.3322279202939513
"(2,1)",0.5,0.02,10,35,5,True,0.7670134812355774
"(2,1)",0.5,0.02,11,22,5,True,0.8152681512068034
"(2,1)",0.5,0.02,12,62,5,True,0.7558139534883722
"(2,1)",0.5,0.02,13,10,5,True,0.8551672384219554
"(2,1)",0.5,0.02,14,13,5,True,0.847408085555656
"(2,1)",0.5,0.02,15,61,5,True,0.6290702988543622
"(2,1)",0.5,0.02,16,70,1,False,0.3030303030303031
"(2,1)",0.5,0.02,17,64,5,True,0.6507634320277902
"(2,1)",0.5,0.02,18,15,5,True,0.8163707874390393
"(2,1)",0.5,0.02,19,48,5,True,0.7353502716992215
"(2,1)",0.5,0.02,20,25,5,True,0.7616483088020275
"(2,1)",0.5,0.02,21,37,5,True,0.7223293864707481
"(2,1)",0.5,0.02,22,35,5,True,0.7202420093887952
"(2,1)",0.5,0.02,23,17,5,True,0.8421169833729216
"(2,1)",0.5,0.02,24,36,5,True,0.7421875
"(2,1)",0.5,0.02,25,21,5,True,0.7362146050670639
"(2,1)",0.5,0.02,26,22,5,True,0.7719326815979736
"(2,1)",0.5,0.02,27,70,1,False,0.22688852405878324
"(2,1)",0.5,0.02,28,24,5,True,0.8370044052863436
"(2,1)",0.5,0.02,29,16,5,True,0.8221924543467878
"(2,1)",0.5,0.02,30,52,5,True,0.7848605577689243
"(2,1)",0.5,0.02,31,60,5,True,0.7986576584274425
"(2,1)",0.5,0.02,32,18,5,True,0.8538812785388127
"(2,1)",0.5,0.02,33,37,5,True,0.709011638090539
"(2,1)",0.5,0.02,34,21,5,True,0.7700733741884359
"(2,1)",0.5,0.02,35,22,5,True,0.8094944352295761
"(2,1)",0.5,0.02,36,30,5,True,0.8366651212261706
"(2,1)",0.5,0.02,37,11,5,True,0.8446091468338657
"(2,1)",0.5,0.02,38,31,5,True,0.8165938864628821
"(2,1)",0.5,0.02,39,15,5,True,0.8305146199794065
"(2,1)",0.5,0.02,40,20,5,True,0.8260869565217391
"(2,1)",0.5,0.02,41,29,5,True,0.7825343219728353
"(2,1)",0.5,0.02,42,21,5,True,0.7845587113781729
"(2,1)",0.5,0.02,43,24,5,True,0.7673229450809559
"(2,1)",0.5,0.02,44,26,5,True,0.825301204819277
"(2,1)",0.5,0.02,45,32,5,True,0.7384615384615384
"(2,1)",0.5,0.02,46,13,5,True,0.8072289156626506
"(2,1)",0.5,0.02,47,70,1,False,0.23810638581403856
"(2,1)",0.5,0.02,48,70,1,False,0.2539888245805665
"(2,1)",0.5,0.02,49,20,5,True,0.8224830210093136
"(2,1)",0.5,0.02,50,70,2,False,0.31719039647590996
"(2,1)",0.5,0.02,51,34,5,True,0.8068710313560934
"(2,1)",0.5,0.02,52,28,5,True,0.8351749539594844
"(2,1)",0.5,0.02,53,70,2,False,0.33400278374708336
"(2,1)",0.5,0.02,54,19,5,True,0.8378766140602583
"(2,1)",0.5,0.02,55,70,1,False,0.24848974468774448
"(2,1)",0.5,0.02,56,25,5,True,0.8131338733213875
"(2,1)",0.5,0.02,57,17,5,True,0.8157647215328745
"(2,1)",0.5,0.02,58,29,5,True,0.811186450789724
"(2,1)",0.5,0.02,59,32,5,True,0.8281938325991189
"(2,1)",0.5,0.02,60,30,5,True,0.8
"(2,1)",0.5,0.02,61,28,5,True,0.8060344827586207
"(2,1)",0.5,0.02,62,15,5,True,0.8461538461538461
"(2,1)",0.5,0.02,63,32,5,True,0.7519999999999999
"(2,1)",0.5,0.02,64,70,2,False,0.29568250918395356
"(2,1)",0.5,0.02,65,70,2,False,0.30457285227444303
"(2,1)",0.5,0.02,66,19,5,True,0.8200716688004099
"(2,1)",0.5,0.02,67,10,5,True,0.8504178128406082
"(2,1)",0.5,0.02,68,12,5,True,0.85
"(2,1)",0.5,0.02,69,22,5,True,0.8351749539594844
"(2,1)",0.5,0.02,70,34,5,True,0.7628246232766913
"(2,1)",0.5,0.02,71,70,2,False,0.3051323570265757
"(2,1)",0.5,0.02,72,70,3,False,0.5280518790358024
