theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(2,1)",0.7,0.02,1,0.48,0.52,0.0,0.0,0.0,0.0
"(2,1)",0.7,0.02,2,0.28,0.71,0.01,0.0,0.0,0.0
"(2,1)",0.7,0.02,3,0.23,0.65,0.12,0.0,0.0,0.0
"(2,1)",0.7,0.02,4,0.19,0.53,0.27,0.01,0.0,0.0
"(2,1)",0.7,0.02,5,0.16,0.46,0.31,0.07,0.0,0.0
"(2,1)",0.7,0.02,6,0.13,0.45,0.31,0.1,0.01,0.0
"(2,1)",0.7,0.02,7,0.1,0.39,0.35,0.14,0.02,0.0
"(2,1)",0.7,0.02,8,0.09,0.36,0.35,0.16,0.03,0.01
"(2,1)",0.7,0.02,9,0.09,0.31,0.37,0.17,0.03,0.03
"(2,1)",0.7,0.02,10,0.09,0.26,0.35,0.22,0.05,0.03
"(2,1)",0.7,0.02,11,0.09,0.24,0.31,0.25,0.07,0.04
"(2,1)",0.7,0.02,12,0.07,0.25,0.27,0.28,0.07,0.06
"(2,1)",0.7,0.02,13,0.07,0.22,0.27,0.27,0.11,0.06
"(2,1)",0.7,0.02,14,0.06,0.22,0.26,0.23,0.17,0.06
"(2,1)",0.7,0.02,15,0.06,0.21,0.22,0.26,0.17,0.08
"(2,1)",0.7,0.02,16,0.06,0.21,0.2,0.27,0.12,0.14
"(2,1)",0.7,0.02,17,0.06,0.21,0.2,0.23,0.1,0.2
"(2,1)",0.7,0.02,18,0.06,0.21,0.19,0.22,0.09,0.23
"(2,1)",0.7,0.02,19,0.06,0.19,0.2,0.2,0.11,0.24
"(2,1)",0.7,0.02,20,0.06,0.19,0.19,0.18,0.11,0.27
"(2,1)",0.7,0.02,21,0.06,0.18,0.19,0.18,0.08,0.31
"(2,1)",0.7,0.02,22,0.06,0.18,0.16,0.2,0.08,0.32
"(2,1)",0.7,0.02,23,0.06,0.16,0.18,0.17,0.1,0.33
"(2,1)",0.7,0.02,24,0.06,0.15,0.18,0.16,0.1,0.35
"(2,1)",0.7,0.02,25,0.06,0.14,0.16,0.18,0.1,0.36
"(2,1)",0.7,0.02,26,0.06,0.14,0.15,0.16,0.08,0.41
"(2,1)",0.7,0.02,27,0.06,0.14,0.12,0.19,0.07,0.42
"(2,1)",0.7,0.02,28,0.06,0.14,0.12,0.17,0.08,0.43
"(2,1)",0.7,0.02,29,0.06,0.13,0.13,0.15,0.07,0.46
"(2,1)",0.7,0.02,30,0.06,0.13,0.11,0.15,0.07,0.48
"(2,1)",0.7,0.02,31,0.06,0.12,0.12,0.13,0.08,0.49
"(2,1)",0.7,0.02,32,0.06,0.12,0.12,0.11,0.09,0.5
"(2,1)",0.7,0.02,33,0.06,0.11,0.12,0.12,0.08,0.51
